text,label,label_name
😂😂😂 tu hi iska official baap hai isiliye dar raha hai tere se baat krne se dusre baap se mil.le   😂😂,1,Normal
the guy whom i was crushing on last year is getting married next year like bhenchod you're 23 kya tereko shaadi karna hai,4,Profane/Untargeted
  lant lant aurat march ko sport kerny waly ko shrm keroo yar,0,Abusive/Offensive
the protest of charsi people of india,0,Abusive/Offensive
tou khud ko bchi samjti hy saali 😂😂😂😂😂,0,Abusive/Offensive
ahhh randi marwaogi?,3,Sexism
hansa tu nahi chahiye per can't stop myself 🤣🤣🤣 ,1,Normal
 tu toh college mein bhi yahi bolta tha,1,Normal
shrif family ka 1 or pol khol gya landan ka falts jo ka un ka motbik 2006 ma lia gya hn ohh 1992_93 sa un ka pass han,1,Normal
teri phudi ko b chata gashti behanchor many charsi ki randi,3,Sexism
pyar ho to phle bc 😐,4,Profane/Untargeted
rt :  muthal muthal muthal 😂😂🤣 acha sory,0,Abusive/Offensive
hijra lag rhi hai,3,Sexism
"that's why he married a 8 year old girl ,kept her sister asma also with him and in return her father was made caliph .bolo bhenchod",0,Abusive/Offensive
 jis trha tujhe chaha koi chahe tu bhul jana mjhe,1,Normal
 god khan sab,1,Normal
wesy shkl ton dr. nhi heera mandi di purani gashti lagdi a tu,3,Sexism
 😂😂😂😂😂😂 meri baat mujh pe 😂😂😂😂,1,Normal
 abey yr taana kon mar rha bai 😐😂 nahi nahi sahi hai ache lagty vo hathorey jaisy barey barey glasses 😝🙊😂,0,Abusive/Offensive
dekh raha hai eski shakte... 😂,1,Normal
  mry ko in lines py bht hansi ati 😂😂😂😂😂😂,4,Profane/Untargeted
"jinhone kaha tha na college mai life set ho jayegi, bc khud toh tum apni marvare ho hamari aur le lee hain, ye sahi hai.",0,Abusive/Offensive
nahi yr es bhenchodo ki aker he torenge 😡,0,Abusive/Offensive
ek jhut chupane ko kitna jhut bolega.......haan d protest was from jnsu and abvp.  bc kuch v patta nahi tum mc sab ko kya milta hai jhutta afwah failla ke .....we know ur ideolgy .....press ho biased media mut bano...,0,Abusive/Offensive
the hijra has already adopted them.,3,Sexism
ooooh bc deepika randi ki ma chodunga thode din ruko main btata hoon inko,3,Sexism
 dr sahb plz help us ak cancer ka mareez hy or shokat khanam walo ny pasy na hony ki wja sy discharge kr dia hy mehrbani frma kr sir kisi bi trha hm sy rabta kr ln wo govt teacher hy engr hy 03007334159 is number pr fone krna hy sir mehrbani krn plz,1,Normal
why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,4,Profane/Untargeted
may allah guide before she became second qandeel baloch,1,Normal
"ameen sum ameen dua m yad rakhaye ga 💕,",1,Normal
allah hum sabko apnay or apnay mehboob k ghr ki hazri naseeb farmay❤💙😭 say ameen &  mashaallah ❤ ,1,Normal
or tum log halala ki paidaish ke shikarðÿ¤£ðÿ¤£ðÿ¤£,2,Religious Hate
haye re teri gawariyat😍... bhaunk te reh bas wanhi aukaat hai teri.. after all aukaat pe hi toh ayega tu 😂,0,Abusive/Offensive
mei ny jana k zindgi bht tlkh hai...,1,Normal
"my boss, sara din kaam hee krta hon tumhari trah nahi hon aur overtime lagane ka muje koi shoq nahi",1,Normal
comment pick up lines 😂😂menay jo suni thi aik vo thi if u were a burger at mc donald's u would be called mc gorgeous😂😂❤,1,Normal
teri maa ka halala kra rha tha koi problem madarjat bhosdike mulle,2,Religious Hate
halala ki oladoo,2,Religious Hate
bhenchod.....kutta pakistan ......kutti saali kom.......,0,Abusive/Offensive
 betao kon hai wo,1,Normal
kio singer bana hota hah kio beghairt zafri khan bana hota hah kio mashooq ke sath laga hota hah rat ko 2 bje yad ata hah yaar parna kab hah,0,Abusive/Offensive
 by the way kr kya rhe ho tum 😂,1,Normal
waisy aeo kam kya karty hain ek hi visit kar k sign karty hain hain 2 bar visit dal jaty hain...koi mentoring nai koi improvement nai..fazool main govt inko 25000 extra daiti hai ,1,Normal
"1. sunni, shia, ahmadiya are examples i don't care if christianity has more sects, it doesn't take away from my point  2. sure you did 😊 this is getting boring take care and good night ✌️,2019-06-12 11:29:58,alien mothership 🛸",1,Normal
qurbanya day sakty ho..? so then come to balochistan..  bakwas karty ho bc,0,Abusive/Offensive
  es ne to saf na krdi hn... ab u hi khilaa dy😔,1,Normal
"mereko kabhi depression nhi ho sakta, main hi depression ko ho jaata hu. bhaaj jaata h bechara mujhse darr ke",1,Normal
nhi ye chadr mehngi hy bht... ghreeb bnda hu or kahan sy lu ga is liye tumhari chadr sy kam chl jaye ga🤣🤷‍♂️,1,Normal
aj tu sub kuch bhula kar jhoom! jhoom yara jhoom,1,Normal
gashti k bachay saboot check kr,0,Abusive/Offensive
comment section mein bhaunk tu raha tha har gali khane wala kam bhi to nahin kiya hai samjha chutiye,0,Abusive/Offensive
  qanoon naam ki b koi cheez hoti ha madam. agr us aurat ko problem ha to apny husband k against fir karwaye or court se apni protection ki appeal kary. aisy mard ko jab police or court ki tarf se danda jaye ga to all will be fine. this kind of awareness required to all women,1,Normal
ap ki ama nay batya hai kay wo yahodi hai ya bhen nay...,2,Religious Hate
bc dil kr raha,4,Profane/Untargeted
 mein charpai se koood kr jaan dy doonga 😭,1,Normal
 iraady kuch thik nhi lg raha hy thumhary,1,Normal
yeah qandeel balooch k baad bakiyoun k pichay b hath dhoo kr purr gai hain. bukhsh day inki jaan mulana sb,1,Normal
he is drunk bhenchod,4,Profane/Untargeted
"sagh, makai ki roti makhan mltani halwa, akhrot dry fruit",1,Normal
 tu wapis aa pakistan😂,1,Normal
"muslim, indian, hindu reformer.....??   kaha se aate hai aise log?  muh se ilaichi toot nahi rahi aur chale hai pichwade se akhrot todne.  miyan pehle khud religion ko reform krlo. hum log humara religion dekhlenge.",0,Abusive/Offensive
"mall road is the most fucked up area, you can't breath easily because the air is so fucked up, please band kardu bhenchodo, chhutiya kam kar dena end par, abhi tou na bund maro.",4,Profane/Untargeted
bhenchod ur the one who’s racist and fat phobic u literally lost the argument tf go suck on muhammad pubg tattay or sth idk.,2,Religious Hate
amir liaqat aik baap ki aulad nae hai,0,Abusive/Offensive
"dear bestie,  if life is rain,  you are my raincoat  aey maa chuda na bhenchod",4,Profane/Untargeted
oeyy randdii k bachay ganddu hindu.. kyun jhoott baq raha hai gashti maa k ganndduu bachay. peshaab p k palnay wali qoum.,2,Religious Hate
tm sbko apni trah randi bnana chahti ho,3,Sexism
yo randi,3,Sexism
"abey maa ch**  bjp congress or ye tere baap,tum jese dallo ka kam he khangress ki chamcha giri karna,pehle sukanya devi ko kaha gayab karvaya he tere baap be vo pata karke aa suwar ki aulad",0,Abusive/Offensive
haan obviously. yahoodi ki oppression se pehle musalmaan ko khud ki musalmaano pe oppression dekhni chahiye.,1,Normal
ayse nai ayse le tu 😆🤣 ,1,Normal
aisay koi gashti k bachay hain bhrway maa yawanay lun khanay k aik dusray ka whatsapp no. leak kr k apney aap ko boht bara koi superstar smjh rhay hein. o lanat bae tum logo ki paidaish pr jo zindagi guzar gyi r jo anay wali hai sab pe lanat hai bae kesay tum suar ho bhenchodo.,0,Abusive/Offensive
dude yar dost ko kehty hain,1,Normal
 kesy bhulon ab..teri story ny meko apni hone wali ki yad dilaa di🤣,1,Normal
ha maine bhi to yahi kaha h,1,Normal
ab khel jame ga is the best #anthem of #psl #alizafar,1,Normal
hhahahhahaha bsdk tere jaisa fattu maine aajtak nahi dekha tujhe laga baap sogaya tera hutt teri ma ki €hut,0,Abusive/Offensive
mein danish hun mein bohot gareeb hun to mehwish bun k meri zindagi mein na ana bhenchod.,4,Profane/Untargeted
 sab mai sab sy pyari ap lag rai hain ☺️,1,Normal
kisan diesel use krtay hain pehlay hi itni cost barh chuki hai mazeed diesel mehnga,1,Normal
ye ssty khusrey 8th main 8 baar fail honey key baad sarkari nokri dhoondh rahey hotey hain aur jab inki taleem key mutabiq nokri nai niklti tu ben dalna shuroo ho jatey hain,3,Sexism
  you are just girlfriend material no one wants wife like you. itna jism jo sirf admi apni bivi ka dekhta h  apka to sary jahan ne dekha h,3,Sexism
teray kehny pe my maa baap kou chordun..❓ teri is he baat pe teri maa na chod doun..😊,0,Abusive/Offensive
tu bc ise ungal sahi karta hai😂😂😂,0,Abusive/Offensive
mai kehna cha raha tha k pehlay spotify tou ajai phir instagram ka bhi dekha jai ga,1,Normal
"bhenchodo har waqt negativity ko highlight karo ge news me despite knowing ke kitni saazish mulk ke khilaf ho rahi hai, to yehi sab hoga na.",4,Profane/Untargeted
😂😂na ho khush raho aap boltay raho😂🤦‍♂️🤷‍♂️,1,Normal
pury tweeter or shehbaaz shehbaaz ho rhi kya baat hy bhai #shehbaazonfire,1,Normal
tu randi hai na is liyei,3,Sexism
  sir ap darna mat ham apke sath h sirf apka channel esa h jo truth dikhane ki himmat rkhta h . really we proud of you sir zee news,1,Normal
kuch nhi bs aap ki yad aa rhi thi 😵.,1,Normal
sardar mat bol isko yr or kuch bhi bol ganda sa sardar nhi hai aurat ki respect nhi karta asli nhi hai,0,Abusive/Offensive
2 number khusray kon sy hotay han 🤔,1,Normal
chota admi.... ye benasla besharam yahoodi agent alumnati ka member ma'am  sahiba ne zafar wal jalsa ma selected ko hand k sign se bata diya tha,2,Religious Hate
 lekin asli mai bhee tou kartay hain na. tou khuaab mai ye thori pata chalta hai k khuaab hai ya haqeeqat. phir agar na istemaal karain tou kya pata khuaab na ho haqeeqat ho.,1,Normal
rt : valentine day haram ha aur usko mnany waly harami 💯😂,4,Profane/Untargeted
from the condemns the attacks on the indian diaspora outside  and urges the west to support marginalised groups in pakistan such as #balochisthan #ahmadiya   for a better,1,Normal
rt :   aap ke baap ka bill aata hai?,0,Abusive/Offensive
anyone jo crush k qabil ho?  🤷‍♂,1,Normal
teri maa bahn ki. chudai krta h      haraami,0,Abusive/Offensive
rt : humny mohabbat ka bharm sb sy judaa rkha hai dekh zikr tera hai mgr nam chupa rkha hai,1,Normal
hahah pata hai mujy ni bola par jisy bola uska comment solid tha mujhy baramaza ay hhahah,1,Normal
i mean js ko raat ko late tak nend ni ati woh sbhu aik din jaldi uttah jae tu raat ko time se e khud e ankhen band hona shru ho jien gyn,1,Normal
aur jo khud randion kee tarhan party change kurtay hain... aur awam kaa paisa zaya kurtay hain.. unko bhee aisay hee kisi din purray gee... i have no love for ml... i support pti just for  and you are nothing but a bully...,0,Abusive/Offensive
guys make it trend bcz hmry pakistani frnds ko hmri zroorat hy or social media kch b krwa skta phr chahy wo acha kam ho ya bura tw plzz is ek achy kam ka hissa bn jay   ,1,Normal
allah tou qareeb hi hota hi door tou hum chlay jatay hn,1,Normal
", main heran hota hun ki duniya mein itne badsoorat randiyan bhe hoti hain",3,Sexism
bhaag bhenchod ek baar ke liye laga red chillies org hai🤣🤣🤣,4,Profane/Untargeted
randi tere khene se koch nahi hoga kanjar nasal ki payedawar,3,Sexism
bhen chod k bachy ye sun ye teri bakwas hai na ab rishta bhi do gay na choti ka tu b n waly nhi bethy gay,0,Abusive/Offensive
  kaafi costly hoga na?,1,Normal
 kuch bhi nhi..😂,1,Normal
 aur jo haseen na ho usko koi munn nahi lgata,1,Normal
ary koi hamin bhe muuh dhoo kr muh laga lo🙄 ;-; hr jaga larkiyon ki tweets pr zalzaly aye hoy hm larky kdr jain marjain hm? 🙄,1,Normal
 in box ko lock kar do,1,Normal
  hahahaha wo main ny click keye thy khud dekhany k leye bt i gues dell kar dye thy bad main 😂😂😂,1,Normal
 keh rahi hn na rehne den is bat ko is pe no behs,1,Normal
 yaqeen krain m b yahi kehny wali thi apko  😂😂,1,Normal
just like jb dey ka skin jala tha wo nhi dikhaya. ya jb asim ko chukla ne pakad ke injure kia tha chest pe wo nhi dikhaya.    editing ka baap.  #bb13,1,Normal
inki lighting py sara paisa lag gya awam ka bc 😂,4,Profane/Untargeted
ajj jaib mein 30 rupay aur host mein pakistan kay legend ko kar rha. 😂,1,Normal
 3 din se uni nahi jaa rahiiii 😨😭😔,1,Normal
jan allah ko dani ha per saboot court ko nahi dany is jumly k bad b aap jasy educated log na many to allah he hafiz app logu ka.,1,Normal
jb tum namaz nahi party to ya mat socho k waqat nahi mila bal k ya socho k tum sy aysi kon c khata hoi k allah ny tumhein apny samny khara krna bhi pasand nahi keya.♥,1,Normal
rt : i just received akhrot from kashmir n kashmiri kulchy toooo😍😍❤️❤️,1,Normal
"rt : woh ""hi"" b bolegi,woh ""bye"" b bolegi, woh larki hai janaab, dimaagh kharaab hua toh ""bhai"" bhi bolegi 😂",1,Normal
 jes trna ya chaned urteny be hayae pihla rhe han use tran chand begert mard b han as ka matlab ya ni ha jo urat march per bop rhen han wo thk ha yan galat kabe achey chezun ko b follow karo,1,Normal
duniya fani hai or insan harami,4,Profane/Untargeted
 ngtivity phelana bnd kren.. fitna or fasaad phelana ahl e bait or un se mhbt krny walon ka kaam ni hai,1,Normal
 mujy koi gum ny,1,Normal
sarey bajwa k itihadi hain baqi khosh hon dey bahaney ney 😉,1,Normal
     haha.  teri ma ka yar hu bhhainchod tamiz kar,0,Abusive/Offensive
kiunke afghanistan mein pakistan ne america/england/ nato mi bhen chod kr ralh d isliye for your info mushharf equipe missile۔tecno to libia when france stard crying making pp in d pants pakistan i s i deafeat america/england/nato with american help۔i s i father of all۔agencies,0,Abusive/Offensive
randi h yr,3,Sexism
 to tumhn yh kaha s pata k khushia charhi hui🙄,1,Normal
 kuch wesy b rahen mushkil thi kuch mujhy mrny ka shoq b tha.. 🖤,1,Normal
that nigga was yahoodi he probably lied to all the employees,2,Religious Hate
"utny yahodi israeil mein nhe hn gy jitny iran mein abaad hain, israeil america ka toota hai jis mein uski jaan hai",1,Normal
jui inahahallah pakistan say qadyani yahoodi agent ki hukmat awr ap jesy qadyani yahoodi ki supporter ki secret program planning awam ki samny rakty rehngy,2,Religious Hate
plz sir hamy in say koi khtra nahi hamy is imran khan yahodi our kadiyanion say bachny pay gor karen pak army tayri azmat ko salam,2,Religious Hate
abe mc mein bheju teri maa cow ka photo kat te hue bc. chod teri tarah andhbhakt nhi hu aur nhi illiterate.. go and drink cow piss.,2,Religious Hate
pta hai ye jo schi wali mohabbat hoti ha na ye dill  ya dimagh se ni hoti... ye to rooh se hoti hai tbhi to mrne k bad b zinda rehti ha shyd...,1,Normal
aima ga ri hy bhenchod dj mike band kr deta hy awam suti ni hy ye dj manhoos hy nikalo is penchod ko,0,Abusive/Offensive
 sir yahan justice ko bhe huqooq nahi miltay ager woh je huzoori na karay... aam admi ko to bhool jaen,1,Normal
mujy bi cahiye followers koi ju interact karay thora buhat raat ky is pehar jab me shadeed bore hu ra huta hun,1,Normal
kahe bhaunk raha hai ?,0,Abusive/Offensive
"😎🇵🇰😎 ab jub gaaf phhatti tou naram lahjay may apni ahmaq following ko bay-waqoof bana raha hay,,,kal tou gardan ka sarya he akarr akarr ker phattnay ko aaga tha.😎🇵🇰😎 ullu kay patthay ab zara aik qadam barrha oor dekh kay kabhi teri tasnng hoti thi.",0,Abusive/Offensive
es yahodi ka app ne b bistr garm kya hy hahaha,3,Sexism
chairman of ppp can call him “bayghairat”in the parliament. all pmln and ppp leadership 24/7 call him puppet & selected. mullah terrorist can call him yahoodi ... wish you had the courage to condemn them as well while you invited all these abusers in your programs.,1,Normal
they need akhrot,1,Normal
 oh tere mubaraka 😂❤️,1,Normal
 walaikum salam,1,Normal
 boht aj 6:30 p video ay gi teri jis m tu boht excited hoga😂😂,1,Normal
"nawaz sharif wapis aye ga? nawaz shareef leader hai, imran khan yahoodi agent hai, imran khan cocaine leta hai, nawaz shareef bemar ha ya drama kr raha hai? maryam baher jaye gi ya nahe?  wtf is this behaviour?🤷",2,Religious Hate
"subha subha ik post dekh k yaad a gya.. my mamus & khala, and mamies and parents will leave one day  and it hurts so badly.   subha subha rula dia.  😭😭😭😟😟😟",1,Normal
"  acha abhi bhe lfz "" honi chye "" kaha ja rha hai.... hats off",1,Normal
ohh international tawaif tere jaisi randion ko koi ghaas bhi nai dalta zyada chwlain nai maar tum log jitna bhi kr lo pakistan ko nai tor skti cia ki tawaif,3,Sexism
rt :  ek no ka hutiya hai ye  charsi urban naxal,0,Abusive/Offensive
tum inki maat socho teri maa ka yaar to chala geya or ab wo kia kary gei kia wo ab ......... kary gai or abi to teri baji mariyam usko ab katri bi mu nahi lagte wo to modi ko bi nahi bula sakty hahahaha  or pta hai wo bi ab imran khan ke intazr mein hai ke imran usko bi moka dey,0,Abusive/Offensive
"if you born as shia, ahmedi then india is a best place to born. you can practice your religion without any state discrimination.",1,Normal
"saali , tuje gaali dene ke liye hi follow kar rha hu, otherwise tumko follow karna sharm ki baat hai. tu saali kya karne gayi thi jnu me, marane ki aadat teri gayi nahi abi tak.",3,Sexism
#pashtunsstandwithmanzoor  gul marjan sab da hash tag rawan day ,1,Normal
 lakh di lanat teri shakal teeee.,0,Abusive/Offensive
hur kisi k koi na koi story hoti hay.,1,Normal
gand mara bhenchod,0,Abusive/Offensive
 kia kiya h is ny..q arrest kia,1,Normal
 tum ny dekha mujhy kabhi kisi ko troll kartay huay??😳,1,Normal
ya allah reham 😢🤲..jiss waqt humein milkar kashmir ke liey awaaz uthani chahiey thi uss waqt fazlur reman madarsey ke logon se jhoot bol kar ke yahoodi aur qadiani hukumat ke khilaf maarch karo awaam ki tawajjah hataey rakhi,1,Normal
"ab iska sara credit har anchor le rha h jb k  rape,  ki asal jad h hi media jo mera jism.meri marzi,  hareem.shah , qandeel bloch , valentine day pe program krty hn phr rape hi hn gy",3,Sexism
"but in your country u make pm a man (by rigging election) who does adultry, take bribes, eat zakaat and play jouwa with his yahoodi saala with zakaat money 👏🏼👏🏼 yet he claims he will make madina ki riyasat 😝😝😝 total fraud",1,Normal
today i say that from now on i am not going to vote for pmln and will never forget that what they did today. inshallah will not let people forget about this in future as well. this does not mean i am supporting pti they are lanati   #shame,0,Abusive/Offensive
       chuss thi heavy 😂,1,Normal
"chaalloo... ager imran waqaye yahoodi agent hota to is ko iqtadaar may laatay laatay 22 saal na lagtay. ye pehlay 4,5 saal may he hakoomat may hota..",1,Normal
"koi is bharwe ko rokta q nahi ha, ye hamari fouj k bare me bhi bakwas kr rha ha, idare q khamosh hain....???",0,Abusive/Offensive
rt :  iska khud ka dna sadak par bhaunk rahey kuttey ka lagta hai..,0,Abusive/Offensive
another qandeel baloch on list.,3,Sexism
bhenchod whatsapp khoul,0,Abusive/Offensive
 😏😏😏 noi g mai backbencher thi,1,Normal
    mujhe to hassi a gyi je sun kr ke sidnaaz khtm ho gya kya dekh kar gyi hai ghr main.mujhe to lgta hai je sid ko arti ke liye pasand kr rahi hai or rishta krne ayi hai sid or arti ka jo bol rahi hai sidart trend chal raha hai.bakwas lady go back your home sali,0,Abusive/Offensive
arey teko ya se lavda fek ke maruga ki tera khandan chud jayega teri nani se le kar beti ko chod duga lavde ke baal saala hijra,3,Sexism
sara din kaam kr k is time bari neend aati hai😴,1,Normal
ye pagliya gyi h saali... kuttiya ye ab bhul gyi h jisne #halala or #teentlaaq se aazadi dilwayi usko bhul gyi h ye mullli....,2,Religious Hate
high class randi,3,Sexism
coz rss aur sanghion ki gaand roz chaatne ke liye aise bakwas kerne parhte hein bharwe ko daily basis per.issi liye to famous bana huwa hai. otherwise bhonkne ke ilawa is 🐕 ki kiya qabliyat hai?,0,Abusive/Offensive
     jitnay bhe bhonk lo allah ka karam hay is arz e pak pe. tum jaisay nasoor aisay he khatm ho jain gay. madam reham ik nay chora hota to ye pashteen party aap k leay 1 tissue thee,0,Abusive/Offensive
rt : to mar jao khi jakr. or haa apni maa se permission to le lete aise hi kisi ko baap bna lete ho,0,Abusive/Offensive
bitch tmy kya lena dena in baton sy. ab tm ny randi he rahna jitni b nkawas kr ly,3,Sexism
iss nay 1 saal main hi 72 saal ki kasar nikal di. bera gharaq kar dia har cheez kaa. 400 adaaray band ho rahay hain..sab waaday thuss..  jo meray mazhab ki izzat nahin karay gha to main kaisay doosray kay mazhab is ahtram  kar loon?,1,Normal
ufff bhi.....🤦‍♀️🤦‍♀️sorry g agar aapko aisa lg ra hai....mei aap ka mazak ni ura rai thi..🤷‍♀️🤷‍♀️🙁,1,Normal
"ahmaq admi, molana ne foj ke bare ma kia kia alfaz istimal kye. sharam kro kuch apne walid ka hi khayal kr lo he would never have done this",0,Abusive/Offensive
tujh jese bharwe ki itni c bat smjhne ki bhi auqat nhi k agr ns ko kch b hota he to zahir bat he ilzam hkomat py lagy ga qk un logon ko moqa chahiye hkomat py bat dalne ka so wo aisa kuch krne ka kbhi sochen gy bhi nhi.han un k apne bndy zror aisa kr k hkomat ko bdnam kr skty hn,0,Abusive/Offensive
dekh be randi ke ladka mai ne tere maa ko spelling sikha ke aaya hu tu apni maa se shikh lena.......ab thik hai spelling madharchod randi ke bachha teri maa ko choda char bar,0,Abusive/Offensive
agr pata hota itni taklef deti h muhabbat  to dil jorny sy phly hath jor lety.......,1,Normal
in main tm bhi shaamil ho harami ki olaad,2,Religious Hate
apni amma se poch nai to didi sania se poch..khusray to tum log ho jinki larkain shadian pakistanion se krti..,3,Sexism
ooay yeh tum ho. yaha kia kar rahay ho. hmmm.bachu.,1,Normal
laanat ho tum per,0,Abusive/Offensive
chulu bhr pani ma doob mr beghairat... ye ppp walo k mutabik beghairat koi bura word nai ha.its mean shameless .. 😁😁😁,0,Abusive/Offensive
bc kisko janna hai ki shukla ka muh stink karta hai ya nahi.. kya isse interesting koi conversation nahi hoti kya !!  faltu dikhate hai yaar ye.!!  #biggboss13,4,Profane/Untargeted
 aapne dekha hi aj h main to roj hi jaha hoti hun,1,Normal
 kuch nahi hua mujhe,1,Normal
   bank sare he 1 jese hote hen... but un ki product and services different ho sakti hen 😎,1,Normal
 kon hai headr mein ? 👀,1,Normal
   hn ye sai hy 😂😂😂,1,Normal
the rudest book ever se bhenchod 🤑,4,Profane/Untargeted
tension mat lo  tum akele nai ho  sab ki life ki  lagi padi hai 🤣🤣🤣,1,Normal
atnay din no see no lift 🙄🙄,1,Normal
teri ama ko chod kr ek bhai paida krrta hun dono bhai khelte rhna bsdk,0,Abusive/Offensive
tera baap hay burhan wani aur tera jija hay,0,Abusive/Offensive
kitna tax deta hai too bharwe,0,Abusive/Offensive
pen ki aukaat nahi teri chut lene ki mera lund le phir dekh tu rakhail na ban jaye meri,0,Abusive/Offensive
isako famous karo bahut bhaunk rahi hai. 😂,0,Abusive/Offensive
kiu nhe ager ap company dey ge to karni pare ge asy me kse dosti kero ga ap se,1,Normal
humey ni sunna ,1,Normal
hahahahaha ... halala and triple ts are desired by muslims as per pe #sharia or saria ! big confusions,1,Normal
pta hi hoga ...jb suhagraat pr teri maa ka yaar ne teri maa ko uske samne choda to pta to hoga hi,0,Abusive/Offensive
rt : ant: i'm slow snail: no i'm slow tortoise: i'm slowest  ptcl: rishte main tou hm tumhare baap lagte hain.,1,Normal
"acid attack, rape, domestic voilence, wife k hoty hoy girls k sath relation rakhna, ya time pass k ley girls ka use krna in pa mard chup ho jta h ye sub kon krta h? mard apny ap ko paak kar ly toh aurat ko in sub ki zarorat nahi #auratmarch",1,Normal
rt : kabira bhenchod maan ja pls 🎶,3,Sexism
tum log pappu mat bano kyunki sonia aur pawar ne tumnlogo ko pappu hi nahi kutta bana kar chhod diya hai..ab kai kai karte rahi; bhaunk toh sakte nahi 🤣🤣,0,Abusive/Offensive
 pyr ka red ink se kya link,1,Normal
haan tera hijra jesay oxford say noble prize lay kar nikla thaa... ab imran khan ki nafrat mai indian media k talway bhee chaato gay😂😂,3,Sexism
rt : bicharne wale mai sab kuch tha beghairt mai wafa hi nai thi bas,4,Profane/Untargeted
teri maa ki choot bhosdiwala..  randi ka baacha.  teri ma ko bol apna rate barade nhi th koi chodega nhi..  aur tera ghar nhi chalega .. maa ko chudwakar th ghar chalta tera..  sun apne baap se panga na le..  maa chod ke rakh dunga..  chal nikal ab randi ka baccha,0,Abusive/Offensive
well said.lanati hain ye qadyani kafir,2,Religious Hate
     nargas ki id to thik se laga lo 2 number pe 😉 ,0,Abusive/Offensive
tu sach much shaitan ki  paidaish ha.your channel continuously ran the news for an hour .,2,Religious Hate
 tu main ny bhi aik line keh di😂😂,1,Normal
   ghussa !???? mery samney hoti na ye to chapairain lagani thi isi my ny literally zaleel kar rakha hy,0,Abusive/Offensive
dost jin k khayal mein ali zafar aur atif aslam barhy singer hein arif lohar aur ali azmat se 😅 un se behas ni krty koi fayeda ni hota 😅,1,Normal
bc kbhi a6a na bolain 😒,4,Profane/Untargeted
o hijrey tum kesi kam k nahi ho allha ki qasam thok lga k gand pe doob k me jao behare he sala hijra cerrpet treen hijra or iska bap slaa gunda abi tu apki gand phti he or agy mazeed phty gi dkho inshallah,3,Sexism
